5.69,3.69,3.17,4.23,4.02
6.26,3.2,5.35,3.19,5.43
5.21,3.87,5.78,5.54,3.96
4.82,4.54,3.47,6.07,3.91
3.62,4.57,4.15,4.71,4.04
6.52,5.49,4.17,2.32,4.3
5.75,4.84,5.24,6.01,5.69
5.78,5.3,4,5.09,5.47
6.06,6.11,3.45,4.02,6.37
5.72,4.07,5.35,5.08,4.01
5.72,5.49,3.66,3.81,3.52
3.67,3.61,5.46,5.38,4.06
3.21,3.74,5.72,2.79,3.07
4.32,4.78,3.45,6.34,3.6
5.77,3.65,5.99,3.13,4.03
4.06,5.44,4.5,4.45,4.48
5.85,3.45,6.15,4.12,3.64
3.76,6.02,4.39,3.33,6.64
6.34,4.28,3.96,5.98,4.62
5.87,5.25,5.71,4.47,5.72
5.69,5.48,5.61,5.55,4.04
3.71,5.15,4.24,5.43,5.88
3.62,4.62,5.17,5.54,4.98
4.21,6.34,3.5,5.02,5.32
5.24,5.51,5.83,6.25,6.1
6.44,4.36,4.8,5.5,3.63
6.25,5.58,3.63,3.36,3.84
5.3,5.25,4.71,4.48,3.26
3.4,4.22,4.6,6.08,3.61
5.22,4.41,3.26,5.98,6.24
4.27,3.18,5.29,5.04,4.51
5.93,3.85,5.89,2.65,5.21
6.34,6.13,3.72,3.68,6.11
5.68,4.01,3.84,4.25,5.09
4.87,3.58,6.36,5.74,3.4
3.22,6.57,5.86,5.88,5.99
5.07,3.62,5.48,3.65,4.7
4.88,3.96,5.7,5.06,3.9
5.61,1.98,3.84,3.73,4.41
5.85,4.55,5.77,2.96,5.58
2.99,5,5.43,3.71,4.23
4.55,3.48,5.3,4.7,3.9
4,6.89,4.98,5.58,3.91
5.98,5.69,3.6,4.49,5.81
5.83,3.25,5.14,2.7,3.7
5.48,4.63,4.14,4.09,3.14
4.22,3.23,6.24,5.63,3.64
5.75,6.63,4.92,4.08,4.98
5.42,6.43,6.05,5.85,4.63
4.31,4.37,5.96,4.14,3.97
3.31,6.01,4.61,4.14,5.66
6.4,4.09,3.92,3.14,4.66
3.1,6.24,5.07,3.86,5.68
3.43,4.69,4.32,4.63,6.2
6.61,4.05,5.95,3.9,5.59
6.25,3.97,4.42,5.71,5.93
4.69,5.75,3.93,5.71,4.83
4.41,3.34,3.63,4.39,5.58
4.05,5.61,3.49,4.5,5.63
4.57,5.99,4.1,6.5,5.26
6.27,6.39,4.02,3.87,6.65
3.69,4.54,5.85,5.4,3.06
5.66,4.43,5.77,4.08,5.64
3.86,6.39,3.75,4.45,3.76
5.89,4.76,5.35,4,6.41
5.25,5.54,3.78,4.06,3.84
5.44,3.28,4.03,4.24,5.87
6.08,3.09,5.47,6.09,5.3
3.43,5.27,2.97,4.18,4.91
4.65,3.71,4.29,6.01,3.75
