4.4,5.36,6.51,3.62,5.5
5.09,6.19,4.04,5.78,6.01
5.24,4.85,6.2,2.82,3.48
3.04,5.55,2.04,4.82,5.01
6.59,6.81,6.28,6.94,6.67
7.47,5.16,7.68,5.84,3.83
4.52,3.35,6.55,2.59,3.84
3.72,3.76,4.22,8.34,4.39
2.53,8.18,7.28,3.82,5.18
3.12,4.7,4.41,8.22,1.85
2.52,6.13,6.46,5.99,5.17
3.07,5,6.53,5.3,4.59
4.1,3.21,5.18,3.93,3.2
5.87,2.43,6.53,4.56,2.81
5.76,5.38,6.47,5.14,4.07
5.55,5.25,2.99,7.14,5.91
3.21,7.63,3.47,6.61,7.13
4.99,5.02,4.69,7.14,3.63
6.14,6.6,4.76,5.49,2.26
5.56,2.01,6.95,2.81,4.55
7.21,6.13,7.9,6.74,6.82
4.38,6.41,4.46,5.82,5.66
4.47,4.01,4.31,7.85,6.7
5.03,4.69,6.69,3.08,5.85
5.71,5.31,4.03,6.89,2.97
6,4.8,3.86,6.55,5.03
5.85,2.97,5.21,5.04,5.28
5.29,3.61,5.85,5.47,3.38
5.21,4.93,4.23,3.93,3.59
7.73,4.33,6.77,2.6,6.65
5.68,4.67,7.15,2.61,7.29
1.35,6.02,4.86,2.63,2.91
5.16,5.53,6.02,5.31,6.14
5.97,5.86,6.74,6.46,4.31
5.49,4.02,6.68,5.29,7.83
4.93,5.22,2.11,6.38,2.73
6.3,5.9,3.93,6.96,7.01
5.48,3.79,4.93,2.09,5.31
5.63,5.09,6.67,4.24,6.01
3.84,8.44,3.2,5.95,4.2
4.9,2.51,2.25,3.17,5.2
7.29,0.84,6.08,4.73,3.94
5.04,4.14,5.39,4.2,5.04
3.98,5.16,4.93,8.09,8.06
4.84,4.64,7.24,5.29,5.54
4.55,5.96,6.88,5.53,6.17
5.98,4.29,6.23,6.25,0.41
3.76,5.11,6.58,4.64,6.16
7.95,1.5,5.19,6.77,5.5
2.56,8.36,5.05,5.99,4.89
3.1,5.16,3.28,3.72,6.31
4.04,5.62,3.76,5.89,6.62
4.46,4.17,3.35,6.04,4.29
4.97,3.92,4.79,6.46,4.44
7.87,5.2,5.7,5.6,5.98
5.61,6.76,6.64,4.99,4.9
4.79,5.82,4.34,5.79,3.02
6.57,3.14,2.88,5.04,5.96
2.2,6.44,2.87,1.68,3.49
6.97,5.93,6.2,5.05,1.91
4.97,3.92,4.78,4.33,4.31
4.04,4.15,5.12,4.03,3.47
6.59,3.85,7.16,3.57,5.25
5.11,8.51,5.78,7.62,5.2
7.24,6.79,6.9,4.16,4.69
5.02,6.05,5.86,5.62,5.45
6.96,2.84,6.92,4.75,7.69
4.97,5.78,6.82,5.84,6.43
5.48,4.92,6.68,7.23,6.11
3.74,4.04,4.14,2.75,6.93
