3.88,4.01,3.81,3.48,6.45
4.4,5.91,3.63,6.43,6.93
4.64,6.53,-0.99,3.11,4.32
5.87,2.77,3.59,6.15,3.33
4.98,5.69,4.42,4.72,5.13
6.08,6.86,7.04,2.94,3.63
7.02,7.03,3.84,4.17,3.49
6.67,3.19,5.07,3.1,7.07
5.8,4.49,5.35,4.16,7.81
4.25,8.02,5.85,4.69,7.45
7.58,5.75,7.57,3.86,6.66
5.58,4.84,4.08,3.93,4.94
4.73,3.64,5.5,2.22,3.02
4.07,5.13,4.89,7.63,2.78
3.88,3.41,3.6,3.81,3.69
7.08,3.83,5.08,2.3,5.61
4.84,1.57,5.27,5.84,4.98
5.81,6.1,5.29,2.9,5.17
2.88,4.7,5.26,2.67,3.03
3.14,4.03,4.8,3.82,4.04
3.65,4.28,4.29,5.03,5.15
7.52,3.31,6.72,4.92,4.78
5.5,6.73,3.92,7.02,5.26
2.96,4.12,5.57,5.26,5.36
8.12,6.86,3.66,6.26,5.72
6.26,5.19,6.04,4.13,5.08
5.44,1.94,5.1,2.57,3.59
2.43,7.37,4.18,2.31,6.32
3.93,5.77,2.86,9.23,7.78
7.88,2.69,5.52,4.61,5.42
7.68,7.33,4.41,7.05,5.94
5.13,2.9,6.66,5.47,5.24
4.42,5.89,3.74,4.17,6.89
6.21,3.55,4.68,3.74,4.92
1.23,3.36,4.4,4.83,3.83
5.34,3.27,5.39,6.96,7.38
5.47,5.81,7.11,4.93,7.9
4.35,6.77,3.29,1.39,8.37
2.94,5.09,3.62,5.39,6.16
5.85,7.29,3.72,6.56,4.35
7.75,5.54,3.88,4.98,3.69
5.25,5.84,4.78,6.92,7.01
8.67,3.61,3.74,4.09,5.17
3.72,5.91,3.19,5.2,5.73
7.78,6.19,4.54,3.75,4.98
3.51,4.4,5.95,6.82,7.12
6.16,7.14,6.91,5.22,2.59
4.23,4.15,4.67,7,6.28
6.58,8.5,4.35,7.88,5.92
6.15,3.68,6.68,8.94,5.18
4.68,2.89,6.04,5.48,6.24
5.94,6.09,2.49,5.47,2.3
5.13,8.92,6.88,6.51,7.64
6.99,5.29,7.22,5.96,3.27
5.27,5.14,5.06,2.27,3.99
5.93,4.41,5.57,4.11,5.54
4.82,1.51,4.93,5.21,2.22
5.15,5.99,5.82,5.09,5.68
3.01,5.81,4.63,6.22,3.91
2.66,4.97,3.57,3.91,5.66
5.18,3.35,6.48,6.35,7.87
4.98,3.19,6.4,4.98,4.57
3.75,4.67,6.42,4.81,5.47
5.93,4.26,5.65,4.57,6.09
6.69,5.3,1.75,3.16,4.26
2.96,4.6,4,3.71,3.31
3.03,6.48,7.67,6.21,7.49
6.38,7.46,7.8,4.34,4.79
4.46,2.3,4.95,2.44,3.86
7.22,7.23,8.17,1.28,5.07
